what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276418243301
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276418252661
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276418266520
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1276418271739
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276418272364
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276418279458
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1276418281254
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276418281661
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276418313801
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276418316239
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276418318208
executed,command,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.edit.text.folding.collapse",1276418320536
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.delete.line",1276418327364
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1276418327489
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1276418341051
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.delete.line",1276418355051
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1276418398536
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276418398926
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276418785043
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276418786497
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276418787137
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1276418790059
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276418790934
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1276418792950
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276418794012
