what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1277013011488
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1277013013113
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277013015550
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277013021675
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.export",1277013021707
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.export",1277013021707
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277013022738
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277013025894
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277013026800
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277013046300
activated,editor,com.instantiations.designer.core,7.4.0.r35x201005090400,"com.instantiations.designer.core.guiEditor",1277013046316
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1277013048316
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1277013058192
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277013064676
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277013065301
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277013067239
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277013069723
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277013073723
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277013091482
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277013099735
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277013106907
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277013108360
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277013128500
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277013136032
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277013159360
