what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275026279190
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275026313518
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275026330799
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275026400458
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275026411880
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275026426302
started,bundle,org.eclipse.jpt.core,2.2.0.v200906070220,"org.eclipse.jpt.core",1275026426646
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1275026426708
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1275026433302
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275026437646
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1275026611282
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275026621219
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.newWizard",1275026621235
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275026625422
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1275026630641
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275026639250
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.newWizard",1275026639266
started,bundle,com.instantiations.common.ui,5.6.0.r35x201005070739,"com.instantiations.common.ui",1275026639454
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1275026640000
started,bundle,com.instantiations.designer.swing.databinding,7.4.0.r35x201005090414,"com.instantiations.designer.swing.databinding",1275026640172
started,bundle,com.instantiations.designer.rcp.databinding,7.4.0.r35x201005090420,"com.instantiations.designer.rcp.databinding",1275026640172
started,bundle,com.instantiations.designer.core.databinding,7.4.0.r35x201005090400,"com.instantiations.designer.core.databinding",1275026640188
opened,editor,com.instantiations.designer.core,7.4.0.r35x201005090400,"com.instantiations.designer.core.guiEditor",1275026641204
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1275026641985
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1275026642766
