what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274921722541
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1274921724948
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274921727651
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274921729760
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1274921730682
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1274921730916
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274921736120
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274921746477
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1274921746508
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1274921748258
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1274921748321
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1274921748321
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1274921748961
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274921752649
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274921755165
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1274921756665
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274921765332
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274921765582
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1274921767800
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1274921771488
started,bundle,org.eclipse.wst.server.core,1.1.101.v20090515,"org.eclipse.wst.server.core",1274921771753
started,bundle,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui",1274921771832
started,bundle,org.eclipse.ve.java.core,1.4.0.v20090826-1446,"org.eclipse.ve.java.core",1274921771925
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1274921772113
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1274921772441
