what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1276392330190
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276392340831
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276392341502
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276392352127
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276392356269
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276392389213
activated,editor,com.instantiations.designer.core,7.4.0.r35x201005090400,"com.instantiations.designer.core.guiEditor",1276392392467
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1276392399561
activated,editor,com.instantiations.designer.core,7.4.0.r35x201005090400,"com.instantiations.designer.core.guiEditor",1276392400217
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1276392405577
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1276392406467
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276392410030
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276392434863
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276392436603
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276392437197
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276392459228
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276392828286
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276392828301
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1276392835676
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276392836817
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276392837583
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276392837848
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276392954899
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276392956821
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276392968900
