what,kind,bundleId,bundleVersion,description,time
started,bundle,com.instantiations.designer.gwt.SmartGWT,7.4.0.r35x201005090409,"com.instantiations.designer.gwt.SmartGWT",1274921095665
started,bundle,com.instantiations.designer.rcp,7.4.0.r35x201005090420,"com.instantiations.designer.rcp",1274921095665
started,bundle,com.instantiations.designer.swing,7.4.0.r35x201005090414,"com.instantiations.designer.swing",1274921095665
started,bundle,com.instantiations.designer.swt,7.4.0.r35x201005090412,"com.instantiations.designer.swt",1274921095665
started,bundle,com.instantiations.eclipse.ui,7.4.0.r35x201005070742,"com.instantiations.eclipse.ui",1274921095665
started,bundle,com.instantiations.eclipse.usageprofiler,5.6.0.r35x201005070739,"com.instantiations.eclipse.usageprofiler",1274921095665
started,bundle,com.instantiations.j2ee,7.4.0.r35x201005070802,"com.instantiations.j2ee",1274921095665
os,sysinfo,,,"win32",1274921095680
arch,sysinfo,,,"x86",1274921095680
ws,sysinfo,,,"win32",1274921095680
locale,sysinfo,,,"zh_CN",1274921095680
processors,sysinfo,,,"2",1274921095680
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1274921095680
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1274921095680
java.specification.name,sysinfo,,,"Java Platform API Specification",1274921095680
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1274921095680
java.specification.version,sysinfo,,,"1.6",1274921095680
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1274921095680
java.version,sysinfo,,,"1.6.0_20",1274921095680
java.vm.info,sysinfo,,,"mixed mode, sharing",1274921095680
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1274921095680
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1274921095680
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1274921095680
java.vm.specification.version,sysinfo,,,"1.0",1274921095680
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1274921095680
