what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276832917359
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276832917390
activated,editor,com.instantiations.designer.core,7.4.0.r35x201005090400,"com.instantiations.designer.core.guiEditor",1276832934346
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276832936049
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276832936518
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276832943924
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276832966933
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276832968839
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276832974136
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1276832982574
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276832987089
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276833010730
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276833021611
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276837220882
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1276837240539
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276837242226
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276837242539
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276837261148
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276837279648
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordNext",1276837281523
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.rename.element",1276837283179
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276837289898
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276837290023
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1276837290023
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1276837302039
