what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275968948518
started,bundle,org.eclipse.help.base,3.4.0.v200906111540,"org.eclipse.help.base",1275968949846
started,bundle,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui",1275968949909
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20090520-1800,"org.eclipse.equinox.http.jetty",1275968950096
started,bundle,org.eclipse.equinox.http.servlet,1.0.200.v20090520-1800,"org.eclipse.equinox.http.servlet",1275968950299
started,bundle,org.eclipse.equinox.http.registry,1.0.200.v20090520-1800,"org.eclipse.equinox.http.registry",1275968950940
started,bundle,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser",1275968950956
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275972895889
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1275972898045
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.format",1275972900655
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1275972901389
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1275972902155
closed,editor,com.instantiations.designer.core,7.4.0.r35x201005090400,"com.instantiations.designer.core.guiEditor",1275972902155
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.close",1275972902295
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1275972903780
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275972906467
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275972913108
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275972918092
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1275972918358
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275972919827
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275972927436
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275972938717
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.newWizard",1275972938733
opened,editor,com.instantiations.designer.core,7.4.0.r35x201005090400,"com.instantiations.designer.core.guiEditor",1275972939530
activated,editor,com.instantiations.designer.core,7.4.0.r35x201005090400,"com.instantiations.designer.core.guiEditor",1275972939655
