what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1274939295496
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274939312480
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274939350783
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1274939352923
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274939363658
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274939395486
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274939397767
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274939482387
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1274939484293
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1274939495403
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1274939501622
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1274939507200
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274939520778
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274939524559
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1274939533340
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1274939533731
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1274939535825
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274939545918
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274939555060
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1274939556857
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1274939561404
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1274939561498
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.copyLineUp",1274939586732
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1274939588685
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1274939589513
