what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.format",1276063465886
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1276063466574
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276063469152
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276063470464
activated,editor,com.instantiations.designer.core,7.4.0.r35x201005090400,"com.instantiations.designer.core.guiEditor",1276063471433
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276063472371
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276063509387
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276063509434
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1276063509668
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1276063518684
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.format",1276063533012
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1276063533700
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276063536153
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276063548232
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276063548279
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1276063548373
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276063551310
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276063553828
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276063556015
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1276063558174
activated,editor,com.instantiations.designer.core,7.4.0.r35x201005090400,"com.instantiations.designer.core.guiEditor",1276063560143
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276063561315
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276063561737
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276063577613
activated,editor,com.instantiations.designer.core,7.4.0.r35x201005090400,"com.instantiations.designer.core.guiEditor",1276063588536
