what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1273631464498
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1273631464638
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks.ui",1273631464748
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1273631464794
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.300.v200811200330,"org.eclipse.wst.common.emfworkbench.integration",1273631465076
started,bundle,org.eclipse.wst.common.modulecore,1.1.300.v200904132230,"org.eclipse.wst.common.modulecore",1273631465138
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1273631465216
started,bundle,org.eclipse.jst.j2ee,1.1.300.v200905290632,"org.eclipse.jst.j2ee",1273631465388
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273631466685
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273631468357
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273631481250
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273631483516
started,bundle,com.instantiations.designer.os,7.4.0.r35x201005090400,"com.instantiations.designer.os",1273631487958
started,bundle,com.instantiations.designer.os.win32,7.4.0.r35x201005090400,"com.instantiations.designer.os.win32",1273631487973
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273631496614
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273631504051
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273631518973
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273631664282
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273631676891
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273631721563
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273631722985
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273631737641
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273631739704
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273631749938
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1273631752485
