what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276155270684
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1276155272450
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1276155274731
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276155284153
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276155304003
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276155304035
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276155309785
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276155325941
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276155329066
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276155353007
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276155355132
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276155401191
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1276155401253
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276155429285
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276155432113
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1276155436347
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1276155437019
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276155467316
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276155497122
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1276155509231
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1276155511278
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276155513637
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276155535137
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1276155541688
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1276155543297
