what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274941072174
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274941205009
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1274941224744
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1274941227806
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1274941233356
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1274941233543
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1274941234528
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274941235622
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274941245906
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1274941247250
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274941256250
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274941596231
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274941600840
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274941665750
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274941681750
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1274941783829
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1274941798141
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1274941798985
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1274941801063
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1274941804672
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1274941807250
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1274941808719
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1274941813741
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1274941813834
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1274941818475
