what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276753100874
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1276753101092
closed,editor,com.instantiations.designer.core,7.4.0.r35x201005090400,"com.instantiations.designer.core.guiEditor",1276753101092
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276753102327
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276753102842
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1276753102874
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276753109889
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1276753110483
started,bundle,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui",1276753111733
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276753113749
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.rename",1276753113795
opened,editor,com.instantiations.designer.core,7.4.0.r35x201005090400,"com.instantiations.designer.core.guiEditor",1276753114905
activated,editor,com.instantiations.designer.core,7.4.0.r35x201005090400,"com.instantiations.designer.core.guiEditor",1276753114967
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276753116311
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276753116764
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1276753119920
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276753129124
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276753139139
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1276753144827
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1276753151342
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276753284014
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276753483226
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276753485976
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276753533117
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276753533992
