what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276158686076
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276158687330
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276158698267
activated,editor,com.instantiations.designer.core,7.4.0.r35x201005090400,"com.instantiations.designer.core.guiEditor",1276158699923
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276158708580
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276158748408
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276158750017
activated,editor,com.instantiations.designer.core,7.4.0.r35x201005090400,"com.instantiations.designer.core.guiEditor",1276158751080
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1276158767486
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1276158769611
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1276158771189
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276158773001
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276158794998
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276158795044
activated,editor,com.instantiations.designer.core,7.4.0.r35x201005090400,"com.instantiations.designer.core.guiEditor",1276158799263
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1276158801175
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276158802394
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276158806057
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276158828935
activated,editor,com.instantiations.designer.core,7.4.0.r35x201005090400,"com.instantiations.designer.core.guiEditor",1276158834419
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276158844576
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276158848685
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276158925509
activated,editor,com.instantiations.designer.core,7.4.0.r35x201005090400,"com.instantiations.designer.core.guiEditor",1276158929210
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1276158952195
