what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1275870471494
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1275870471494
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1275870471494
java.specification.name,sysinfo,,,"Java Platform API Specification",1275870471494
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275870471494
java.specification.version,sysinfo,,,"1.6",1275870471494
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1275870471494
java.version,sysinfo,,,"1.6.0_20",1275870471494
java.vm.info,sysinfo,,,"mixed mode, sharing",1275870471494
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1275870471494
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1275870471494
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275870471494
java.vm.specification.version,sysinfo,,,"1.0",1275870471494
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1275870471494
java.vm.version,sysinfo,,,"16.3-b01",1275870471494
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906010115,"org.eclipse.emf.ecore",1275870471884
started,bundle,org.eclipse.jem.util,2.0.200.v200905140200,"org.eclipse.jem.util",1275870471884
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1275870471884
started,bundle,org.eclipse.jst.jsf.common,1.1.5.v20090505,"org.eclipse.jst.jsf.common",1275870471931
started,bundle,org.eclipse.jst.jsf.core,1.2.0.v20090514,"org.eclipse.jst.jsf.core",1275870471978
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1275870472306
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.0.v200906080500,"org.eclipse.jst.common.project.facet.core",1275870472494
started,bundle,org.eclipse.mylyn.commons.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.ui",1275870472759
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1275870472916
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1275870473541
