what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.moveLineUp",1276156596809
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.moveLineUp",1276156596965
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.moveLineUp",1276156597122
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.moveLineUp",1276156597278
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1276156599606
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276156600793
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276156621116
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276156621163
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1276156667991
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276156672350
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1276156673015
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1276156673921
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276156674859
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276156695050
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1276156698753
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276156702300
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1276156703555
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276156704774
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276156733246
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1276156789199
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276156808089
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276156808417
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276156815371
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276156815605
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1276156828121
